date,pv,inquiries,viewings,offers
2025-08-02,60,2,0,0
2025-08-03,60,2,0,0
2025-08-04,60,2,0,0
2025-08-05,60,2,0,0
2025-08-06,60,2,0,0
2025-08-07,60,2,0,0
2025-08-08,60,2,0,0
2025-08-09,60,2,0,0
2025-08-10,60,2,0,0
2025-08-11,60,2,0,0
2025-08-12,60,2,0,0
2025-08-13,60,2,0,0
2025-08-14,60,2,0,0
2025-08-15,60,2,0,0
2025-08-16,60,2,0,0
2025-08-17,60,2,0,0
2025-08-18,60,2,0,0
2025-08-19,60,2,0,0
2025-08-20,60,2,0,0
2025-08-21,60,2,0,0
2025-08-22,60,2,0,0
2025-08-23,60,2,0,0
2025-08-24,60,2,0,0
2025-08-25,60,2,0,0
2025-08-26,60,2,0,0
2025-08-27,60,2,0,0
2025-08-28,60,2,0,0
2025-08-29,60,2,0,0
2025-08-30,60,2,0,0
2025-08-31,60,2,0,0
2025-09-01,150,15,6,1
2025-09-02,150,15,6,0
2025-09-03,150,15,6,0
2025-09-04,150,15,6,1
2025-09-05,150,15,6,0
2025-09-06,150,15,6,0
2025-09-07,150,15,6,1
2025-09-08,150,15,6,0
2025-09-09,150,15,6,0
2025-09-10,150,15,6,1
2025-09-11,150,15,6,0
2025-09-12,150,15,6,0
2025-09-13,150,15,6,1
2025-09-14,150,15,6,0
2025-09-15,150,15,6,0
